取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/09/30 17:48:21,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02099872222481719322
2025/09/30 17:48:21,"1,792",-,-,-,-,-,支払い,MARK　IS　葛飾かなまち - フレッシュダイトー,PayPay残高,-,-,04811020501821603845
2025/09/30 17:40:10,"3,535",-,-,-,-,-,支払い,ヨークフーズ - ヨークフーズMARKIS葛飾かなまち,PayPay残高,-,-,04811016284163137545
2025/09/30 11:44:19,980,-,-,-,-,-,支払い,マクドナルド - マクドナルド金町北口店,PayPay残高,-,-,04810832889060204544
2025/09/30 08:15:07,584,-,-,-,-,-,支払い,スターバックス コーヒー - 金町駅南口店,PayPay残高,-,-,04810725059611271175
2025/09/29 12:59:15,"1,705",-,-,-,-,-,支払い,SANZOKU - インベーダー商店,PayPay残高,-,-,04810129339055890432
2025/09/28 17:10:20,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02098368296733351950
2025/09/28 17:10:20,"11,935",-,-,-,-,-,支払い,すし銚子丸 - 松戸岩瀬店,PayPay残高,-,-,04809516576071540740
2025/09/28 12:09:49,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02098213403033133073
2025/09/28 12:09:48,"3,257",-,-,-,-,-,支払い,セブン-イレブン - 葛飾東金町２丁目,PayPay残高,-,-,04809361682371117058
2025/09/27 18:53:26,100,-,-,-,-,-,支払い,イケア - IKEA新三郷,PayPay残高,-,-,04808827543057850368
2025/09/27 18:38:58,"7,030",-,-,-,-,-,支払い,イケア - IKEA新三郷,PayPay残高,-,-,04808820078405312515
2025/09/27 13:20:21,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02097507585287479312
2025/09/27 13:20:21,"3,264",-,-,-,-,-,支払い,セブン-イレブン - 葛飾東金町２丁目,PayPay残高,-,-,04808655864625758214
2025/09/27 11:24:36,"11,860",-,-,-,-,-,支払い,東京都水道局,PayPay残高,-,-,04808596207529664522
2025/09/27 11:24:36,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02097447928191475727
2025/09/26 23:48:45,"2,350",-,-,-,-,-,支払い,PEPPY - PEPPY,PayPay残高,-,-,04808237577760595968
2025/09/26 19:23:09,"1,700",-,-,-,-,-,支払い,カナマチぷらっと - カナマチぷらっと,PayPay残高,-,-,04808100679972937730
