	8/2	ﾗｸﾃﾝﾌｧｯｼｮﾝ        (ﾗｸﾃﾝ	Prestia 3249		-4831			2025-08	諸々
	8/3	ｶｲｾﾝｵﾀﾙ           (ﾗｸﾃﾝ	Prestia 3249		-3047			2025-08	食費
	8/12	四季彩　一力／ＮＦＣ	Prestia 3249		-1243			2025-08	東北旅行
	8/15	龍泉洞事務所	Prestia 3249		-2750			2025-08	東北旅行
	8/18	ﾎﾃﾙﾓﾘﾉｶｾﾞﾅｽｾｲｻﾝｷ	Prestia 3249		-990			2025-08	東北旅行
	8/21	サイゼリヤ／ＮＦＣ	Prestia 3249		-4170			2025-08	食費
	8/22	ＫＩＤＳＮＡシッター	Prestia 3249		-19402			2025-08	経費
	8/24	ドミノ・ピザ大井町店／ＮＦＣ	Prestia 3249		-3800			2025-08	食費
	8/27	MIDJOURNEY INC.	Prestia 3249	-316.80		USD -316.80		2025-08	Wおかづかい
	8/18	券売機（東日本高速道路）／ｉＤ	Prestia 9446		-2450			2025-08	東北旅行
