card_last4	date	merchant	currency	amount	note
3249	2025-08-02	ﾗｸﾃﾝﾌｧｯｼｮﾝ        (ﾗｸﾃﾝ	JPY	-4831.00	
3249	2025-08-03	ｶｲｾﾝｵﾀﾙ           (ﾗｸﾃﾝ	JPY	-3047.00	
3249	2025-08-12	四季彩　一力／ＮＦＣ	JPY	-1243.00	
3249	2025-08-15	龍泉洞事務所	JPY	-2750.00	
3249	2025-08-18	ﾎﾃﾙﾓﾘﾉｶｾﾞﾅｽｾｲｻﾝｷ	JPY	-990.00	
3249	2025-08-21	サイゼリヤ／ＮＦＣ	JPY	-4170.00	
3249	2025-08-22	ＫＩＤＳＮＡシッター	JPY	-19402.00	
3249	2025-08-24	ドミノ・ピザ大井町店／ＮＦＣ	JPY	-3800.00	
3249	2025-08-27	MIDJOURNEY INC.	USD	-316.80	
9446	2025-08-18	券売機（東日本高速道路）／ｉＤ	JPY	-2450.00	
