Pre-September 2020		$49.59	¥0	
	Pre-September	$49.59		Pre-September 2020
September 2020		-$36.60	¥0	
	Monthly budget	$200.00		September 2020
	Audible	-$14.95		September 2020
	Google Play Music	-$9.99		September 2020
	NYT	-$4.00		September 2020
	Patreon			September 2020
	"	Bay 12 Games"	-$1.00		September 2020
	"	Alzabo Soup"	-$1.00		September 2020
	"	waneella"	-$1.00		September 2020
	"	Kawaiikochans"	-$5.00		September 2020
	欠けた月とドーナッツ	-$5.60		September 2020
	徒然日和 3	-$5.65		September 2020
	徒然日和 2	-$5.33		September 2020
	徒然日和 1	-$6.25		September 2020
	Luminous Blue	-$5.65		September 2020
	clammbon fanicon membership	-$51.03		September 2020
	clammbon ticket	-$32.70		September 2020
	Crusader Kings III	-$49.99		September 2020
	Paradox strategy pack	-$37.46		September 2020
October 2020		-$75.83	¥0	
	Monthly budget	$200.00		October 2020
	Audible	-$14.95		October 2020
	Google Play Music	-$9.99		October 2020
	NYT	-$4.00		October 2020
	Patreon			October 2020
	"	Bay 12 Games"	-$1.00		October 2020
	"	Alzabo Soup"	-$1.00		October 2020
	"	waneella"	-$1.00		October 2020
	"	Kawaiikochans"	-$5.00		October 2020
	   Action Button	-$3.00		October 2020
	Luminous Blue 2	-$5.64		October 2020
	たとえとどかぬ糸だとしても	-$5.66		October 2020
	たとえとどかぬ糸だとしても2	-$6.27		October 2020
	たとえとどかぬ糸だとしても3	-$6.31		October 2020
	たとえとどかぬ糸だとしても4	-$5.71		October 2020
	Kailh box reds	-$14.40		October 2020
	Hypergravity	-$140.92		October 2020
	Pinboard	-$39.00		October 2020
	The Essence of Shinto	-$1.99		October 2020
	A Memory Called Empire	-$9.99		October 2020
November 2020		$117.61	¥0	
	Monthly budget	$200.00		November 2020
	Audible	-$14.95		November 2020
	Google Play Music	-$9.99		November 2020
	NYT	-$4.00		November 2020
	Patreon			November 2020
	"	Bay 12 Games"	-$1.00		November 2020
	"	Alzabo Soup"	-$1.00		November 2020
	"	waneella"	-$1.00		November 2020
	"	Kawaiikochans"	-$5.00		November 2020
	   Action Button	-$3.00		November 2020
	たとえとどかぬ糸だとしても5–6	-$11.46		November 2020
	Switch eShop card	-$30.99		November 2020
December 2020		-$102.70	¥0	
	Monthly budget	$200.00		December 2020
	Audible	-$14.95		December 2020
	Google Play Music	-$9.99		December 2020
	NYT	-$4.00		December 2020
	Patreon			December 2020
	"	Bay 12 Games"	-$1.00		December 2020
	"	Alzabo Soup"	-$1.00		December 2020
	"	waneella"	-$1.00		December 2020
	"	Kawaiikochans"	-$5.00		December 2020
	   Action Button	-$3.00		December 2020
	D&D 5e core books	-$163.71		December 2020
	"Drive Thru RPG: Hârn, Planescape, Birthright"	-$29.97		December 2020
	Strongholds & Followers	-$42.09		December 2020
	Pixaki 4	-$26.99		December 2020
January 2021		$154.29	¥0	
	Monthly budget	$200.00		January 2021
	Audible	-$14.95		January 2021
	Google Play Music	-$9.99		January 2021
	NYT	-$4.00		January 2021
	Patreon			January 2021
	"	Bay 12 Games"	-$1.00		January 2021
	"	Alzabo Soup"	-$1.00		January 2021
	"	waneella"	-$1.00		January 2021
	"	Kawaiikochans"	-$5.00		January 2021
	   Action Button	-$3.00		January 2021
	かけた月とドーナツ2	-$5.77		January 2021
				January 2021
February 2021		$160.06	¥0	
	Monthly budget	$200.00		February 2021
	Audible	-$14.95		February 2021
	Google Play Music	-$9.99		February 2021
	NYT	-$4.00		February 2021
	Patreon			February 2021
	"	Bay 12 Games"	-$1.00		February 2021
	"	Alzabo Soup"	-$1.00		February 2021
	"	waneella"	-$1.00		February 2021
	"	Kawaiikochans"	-$5.00		February 2021
	   Action Button	-$3.00		February 2021
	Various volumes of Ôsawa comics			February 2021
March 2021		$16.60	¥0	
	Monthly budget	$200.00		March 2021
	Audible	-$14.95		March 2021
	Google Play Music	-$9.99		March 2021
	NYT	-$4.00		March 2021
	Patreon			March 2021
	"	Bay 12 Games"	-$1.00		March 2021
	"	Alzabo Soup"	-$1.00		March 2021
	"	waneella"	-$1.00		March 2021
	"	Kawaiikochans"	-$5.00		March 2021
	   Action Button	-$3.00		March 2021
	Surfbank Social Club LPs	-$120.97		March 2021
	Various volumes of Ôsawa comics	-$12.17		March 2021
	ScLl — Remember	-$10.32		March 2021
April 2021		$107.07	¥0	
	Monthly budget	$200.00		April 2021
	Audible	-$14.95		April 2021
	Google Play Music	-$9.99		April 2021
	NYT	-$4.00		April 2021
	Patreon			April 2021
	"	Bay 12 Games"	-$1.00		April 2021
	"	Alzabo Soup"	-$1.00		April 2021
	"	waneella"	-$1.00		April 2021
	"	Kawaiikochans"	-$5.00		April 2021
	   Action Button	-$3.00		April 2021
	eShop card — Atelier Ryza	-$52.99		April 2021
				April 2021
May 2021		-$47.48	¥0	
	Monthly budget	$200.00		May 2021
	Audible	-$14.95		May 2021
	Google Play Music	-$9.99		May 2021
	NYT	-$4.00		May 2021
	Patreon			May 2021
	"	Bay 12 Games"	-$1.00		May 2021
	"	Alzabo Soup"	-$1.00		May 2021
	"	waneella"	-$1.00		May 2021
	"	Kawaiikochans"	-$5.00		May 2021
	   Action Button	-$3.00		May 2021
	Focusrite Scarlett	-$207.54		May 2021
				May 2021
				May 2021
June 2021		-$140.31	¥0	
	Monthly budget	$200.00		June 2021
	Audible	-$14.95		June 2021
	Google Play Music	-$9.99		June 2021
	NYT	-$4.00		June 2021
	Patreon			June 2021
	"	Bay 12 Games"	-$1.00		June 2021
	"	Alzabo Soup"	-$1.00		June 2021
	"	waneella"	-$1.00		June 2021
	"	Kawaiikochans"	-$5.00		June 2021
	   Action Button	-$3.00		June 2021
	Strymon Zuma	-$272.03		June 2021
	Adafruit power adapters for volcas	-$10.56		June 2021
	Some kind of cable	-$24.32		June 2021
	Some kind of cable	$6.54		June 2021
July 2021		$1589.77	¥0	
	Monthly budget	$200.00		July 2021
	Audible	-$14.95		July 2021
	Google Play Music	-$9.99		July 2021
	NYT	-$17.00		July 2021
	Patreon			July 2021
	"	Bay 12 Games"	-$1.00		July 2021
	"	Alzabo Soup"	-$1.00		July 2021
	"	waneella"	-$1.00		July 2021
	"	Kawaiikochans"	-$5.00		July 2021
	   Action Button	-$3.00		July 2021
	The Retro Fix trade-in	$1300.00		July 2021
	The Retro Fix trade-in 2	$200.00		July 2021
	Kingdoms & Warfare	-$57.29		July 2021
				July 2021
August 2021		$147.06	¥0	
	Monthly budget	$200.00		August 2021
	Audible	-$14.95		August 2021
	Google Play Music	-$9.99		August 2021
	NYT	-$17.00		August 2021
	Patreon			August 2021
	"	Bay 12 Games"	-$1.00		August 2021
	"	Alzabo Soup"	-$1.00		August 2021
	"	waneella"	-$1.00		August 2021
	"	Kawaiikochans"	-$5.00		August 2021
	   Action Button	-$3.00		August 2021
				August 2021
September 2021		-$262.61	¥0	
	Monthly budget	$200.00		September 2021
	Audible	-$14.95		September 2021
	Google Play Music	-$9.99		September 2021
	NYT	-$17.00		September 2021
	Patreon			September 2021
	"	Bay 12 Games"	-$1.00		September 2021
	"	Alzabo Soup"	-$1.00		September 2021
	"	waneella"	-$1.00		September 2021
	"	Kawaiikochans"	-$5.00		September 2021
	   Action Button	-$3.00		September 2021
	 違国日記１	-$5.42		September 2021
	 違国日記 2–6	-$15.30		September 2021
	Guitar Hospital	-$382.96		September 2021
	Something Deeply Hidden	-$5.99		September 2021
Oct 2021		$13.90	¥0	
	Monthly budget	$200.00		Oct 2021
	Audible	-$14.95		Oct 2021
	Google Play Music	-$9.99		Oct 2021
	Patreon			Oct 2021
	"	Bay 12 Games"	-$1.00		Oct 2021
	"	Alzabo Soup"	-$1.00		Oct 2021
	"	waneella"	-$1.00		Oct 2021
	"	Kawaiikochans"	-$5.00		Oct 2021
	   Action Button	-$3.00		Oct 2021
	Man And His Symbols	-$7.99		Oct 2021
				Oct 2021
	Boss VF-500H	-$142.17		Oct 2021
November 2021		$131.08	¥0	
	Monthly budget	$200.00		Nov 21
	Audible	-$14.95		Nov 21
	Google Play Music	-$9.99		Nov 21
	Patreon			Nov 21
	"	Bay 12 Games"	-$1.00		Nov 21
	"	Alzabo Soup"	-$1.00		Nov 21
	"	waneella"	-$1.00		Nov 21
	"	Kawaiikochans"	-$5.00		Nov 21
	   Action Button	-$3.00		Nov 21
	Termination Shock	-$16.99		Nov 21
	Perhaps the Stars	-$15.99		Nov 21
				Nov 21
December 2021		-$381.72	¥0	
	Monthly budget	$200.00		Dec 21
	Audible	-$14.95		Dec 21
	Google Play Music	-$9.99		Dec 21
	Patreon			Dec 21
	"	Bay 12 Games"	-$1.00		Dec 21
	"	Alzabo Soup"	-$1.00		Dec 21
