date	merchant	usaa_category	amount_usd
2025-08-29	Apple	Electronics & Software	-29.99
2025-08-27	Dispel Dice Dispeldice Coca	Electronics & Software	-86.00
2025-08-24	OpenAI	Business Services	-22.00
2025-08-13	Apple	Electronics & Software	-37.95
2025-08-13	Ott Dropout	Television	-5.99
2025-08-10	Patreon	Entertainment	-5.00
2025-08-10	Onebookshel	Books	-17.90
2025-08-08	Off Book Clubhouse Offbookclca	Business Services	-5.00
2025-08-05	Apple	Electronics & Software	-74.99
2025-08-04	YouTube Premium	Entertainment	-13.99
2025-08-03	Kickstarter	Shopping	-75.00
