,Date,Merchant,Method,金額 (USD),金額 (JPY),Notes,備考,月,Category,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,"-$9,025.72","-¥351,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家関連,,,,"-$9,025.72","-¥351,200","-¥250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023/10/14 Prestia 山本 表題登記,,,"-¥100,000",,,2023,家関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023/10/30 Prestia 石原 登記費用,,,"-¥101,200",,,2023,家関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/28 英子に立て替え分返金,,,"-¥150,000",,,2023,家関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/6 固定資産税 Shisutemu riyouryou Eltax,,"-$1,226.70",,,,2023,家関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/6 固定資産税Chihouzeikyodoukikou Eltax,,-$10.22,,,,2023,家関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ゆうちょへ金額移動,,,,"-¥250,000",,2023,家関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30 Property tax Check #995944,,"-$7,788.80",,,,2023,家関連,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10,,,,"$6,493.96","¥1,440,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
給料,,,,"$13,080.22","¥1,511,915",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/12 Meta,,"$9,510.02",,,,2023-10,給料,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/25 日本メタ給料,,,"¥1,511,915",,,2023-10,給料,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/26 Meta ,,"$3,570.20",,,,2023-10,給料,,,,,,,,,,,,,,,,,,,,,,,,,,
経費,,,,"-$4,636.67","-¥70,080",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/2 Verizon,,-$129.52,,,,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/5 東京電力エナジーパートナー 現金,,,"-¥1,623",,７イレブンで現金振込,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/9 東京ガス　現金,,,"-¥3,667",,コンビニ振り込み,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/10 Pacific gas & Electric,,-$139.45,,,,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/11 USAA property and Casualty Insurance,,-$151.03,,,,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/12 Compass,,-$242.00,,,,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/13 Madison Townhome HOA,,-$242.00,,,,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/19 T-mobile,,-$157.33,,,,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/23 七田式 玲月謝,,,"-¥32,945",,プレスティアから振込,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/27 七田式　理咲月謝,,,"-¥31,845",,プレスティアから振込,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30 キャンベル家ローン,,"-$3,575.34",,,,2023-10,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
諸々,,,,-$113.38,"-¥1,660","¥8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,屋台カキ氷　300x5　現金,,,"-¥1,500",,,2023-10,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/27 USAA 金町整形外科,,-$53.38,,"¥8,000",インフルエンザ接種,2023-10,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/28 techonology review,,-$60.00,,,,2023-10,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31 Jcom 着払い　現金,,,-¥160,,,2023-10,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
ウィルお小遣い,,,,"-$1,836.21",¥0,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1 USAA Ubgone-W,,"-$1,822.21",,,,2023-10,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1 USAA Patreon-W,,-$14.00,,,,2023-10,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/8 USAA audible,,,,,,2023-10,ウィルお小遣い,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11,,,,"-$8,024.57","¥1,919,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,,,$329.71,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 SRE management company,,"$4,692.00",,,"11月$2,566.67&12月$5,500; Leasing fee $1,925, Management fee $385; 11/9 rental tax $564.67",2023-11,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/7 Pacific Gas & Electric,,-$40.44,,,,2023-11,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 Madison townhomes HOA,,-$242.00,,,,2023-11,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 USAA property and Casualty insurance,,-$151.03,,,,2023-11,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/20 West Valley water ,,-$337.14,,,,2023-11,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
