,Date,Merchant,Method,金額 (USD),金額 (JPY),Notes,備考,月,Category,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01,,,,"-$7,101.07","-¥304,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
給料,,,,$0.00,"¥850,236",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/23,facebook,prestia,,"¥850,236",,,2025-01,給料,,,,,,,,,,,,,,,,,,,,,,,,,,
経費,,,,"-$6,770.27","-¥142,148",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,Fastmail,USAA,-$100.00,,,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/6,Docomo,ゆうちょ,,"-¥3,016",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/6,Kidsna sitter,prestia,,"-¥26,925",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/7,California Franchise Tax Board,USAA,"-$12,000.00",,???,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/10,東金町小学校,ゆうちょ,,"-¥3,497",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/13,USAA property and Casualty Insurance,USAA,-$62.60,,,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/13,SRE management,USAA,"$5,952.00",,,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/13,Apple One,USAA,-$37.95,,,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/15,東京ガス,ゆうちょ,,"-¥24,162",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/17,SRE management,USAA,-$521.72,,New Microwave,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/24,東京水道局,paypay H,,"-¥16,100",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27,七田,ゆうちょ,,"-¥21,615",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27,J-com,ゆうちょ,,"-¥7,568",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27,ETC,ゆうちょ,,"-¥1,257",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/28,Oasis,ゆうちょ,,"-¥10,670",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/28,Kumon,ゆうちょ,,"-¥23,100",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31,Docomo,ゆうちょ,,"-¥4,238",,,2025-01,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
Wおかづかい,,,,-$77.93,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,YouTube Premium,USAA,-$13.99,,,,2025-01,Wおかづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/8,Off Book,USAA,-$5.00,,,,2025-01,Wおかづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/12,Off Matrix,USAA,-$9.00,,,,2025-01,Wおかづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/13,Dropout,USAA,-$5.99,,,,2025-01,Wおかづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/18,Apple,USAA,-$2.99,,W movie,,2025-01,Wおかづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/24,OpenAI,USAA,-$22.00,,,,2025-01,Wおかづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/26,Amazon Digital,USAA,-$18.96,,W Proust book,,2025-01,Wおかづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
食費,,,,$0.00,"-¥292,574",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/1,Hachiya Cafe,Paypay W,,-¥700,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/1,Fepa,paypay H,,"-¥4,893",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/1,7-Eleven,nanaco H,,"-¥1,915",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/2,Lawson,paypay W,,-¥268,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/2,McDonald’s,paypay H,,"-¥1,500",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/2,ネクスコ 日光,paypay W,,"-¥1,900",,アップルパイ４個,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/2,すた丼屋,Paypay W,,-¥980,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,Fepa,Paypay W,,"-¥11,971",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,Lawson,Paypay W,,-¥354,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,sweets plus,Paypay W,,"-¥6,460",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,7-Eleven,Paypay W,,-¥743,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/5,Ganko,paypay H,,"-¥8,360",,北先住レストラン,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/5,東急,paypay H,,"-¥3,092",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/5,サイゼリヤ,prestia,,"-¥3,830",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/6,東急,paypay H,,"-¥6,717",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/6,しゃぶ葉,Paypay W,,"-¥5,173",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/6,7-Eleven,nanaco H,,"-¥1,496",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/6,Komeda Coffee,Paypay W,,"-¥1,670",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/7,東急,paypay W,,"-¥3,175",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/7,7-Eleven,nanaco H,,"-¥1,410",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/7,Starbucks,Paypay W,,-¥949,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/8,7-Eleven,Paypay W,,-¥180,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/8,kanadelica,paypay H,,"-¥3,064",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/8,から好し,Paypay W,,"-¥1,070",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/8,東急,paypay H,,"-¥2,877",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/9,ジェシーピザ,現金,,"-¥5,420",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/9,さぼてん,paypay H,,-¥970,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/9,東急,paypay H,,"-¥3,492",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/10,松屋,Paypay W,,-¥630,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/10,7-Eleven,Paypay W,,-¥180,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/10,vansan,paypay H,,"-¥12,820",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/11,東急,paypay H,,"-¥4,551",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/11,kaldi,paypay H,,"-¥3,521",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/11,flo,paypay H,,"-¥4,794",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/12,文明堂,paypay H,,-¥729,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/12,東急,paypay H,,"-¥2,028",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/12,fepa,paypay H,,"-¥4,245",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/12,feta,paypay H,,"-¥6,817",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/13,肉の万世,paypay H,,"-¥10,626",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/14,7-Eleven,Paypay W,,-¥149,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/14,7-Eleven,Paypay W,,-¥630,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/14,7-Eleven,paypay H,,"-¥2,991",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/14,ガスト,Paypay W,,"-¥6,080",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/14,東急,paypay H,,"-¥1,747",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/15,東急,paypay H,,"-¥4,151",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/15,Godiva lake town,現金 H,,-¥650,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/15,郵便局,paypay H,,-¥610,ドリップコーヒー,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/15,Komeda Coffee,Paypay W,,"-¥1,670",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
